"layer","input","output"
"embedding","(None, 50)","(None, 50, 400)"
"conv1d","(None, 50, 400)","(None, 50, 128)"
"max_pooling1d","(None, 50, 128)","(None, 25, 128)"
"dropout","(None, 25, 128)","(None, 25, 128)"
"conv1d_1","(None, 25, 128)","(None, 25, 128)"
"max_pooling1d_1","(None, 25, 128)","(None, 12, 128)"
"dropout_1","(None, 12, 128)","(None, 12, 128)"
"conv1d_2","(None, 12, 128)","(None, 12, 128)"
"max_pooling1d_2","(None, 12, 128)","(None, 6, 128)"
"dropout_2","(None, 6, 128)","(None, 6, 128)"
"global_max_pooling1d","(None, 6, 128)","(None, 128)"
"dense","(None, 128)","(None, 2)"